graph,objective,time_seconds
Balaban10Cage,16.0,0.07887554168701172
FruchtGraph,3.0,0.13717436790466309
MeredithGraph,10.0,0.07094359397888184
MoebiusKantorGraph,5.0,0.025876998901367188
BidiakisCube,2.0,0.03596758842468262
GossetGraph,1.0,0.02028632164001465
GrayGraph,19.0,0.021789073944091797
NauruGraph,7.0,0.033060312271118164
BlanusaFirstSnarkGraph,4.0,0.047308921813964844
PappusGraph,7.0,0.03189563751220703
BlanusaSecondSnarkGraph,3.0,0.07376694679260254
PoussinGraph,1.0,0.02264237403869629
BrinkmannGraph,2.0,0.04008150100708008
HarborthGraph,12.0,0.278470516204834
PerkelGraph,1.0,0.016185760498046875
BuckyBall,11.0,9.286506414413452
HarriesWongGraph,16.0,0.17955732345581055
RobertsonGraph,1.0,0.03896355628967285
HeawoodGraph,1.0,0.019878149032592773
HerschelGraph,2.0,0.029128313064575195
HoffmanGraph,5.0,0.021234512329101562
SousselierGraph,3.0,0.0681602954864502
SylvesterGraph,1.0,0.025300264358520508
CoxeterGraph,6.0,0.026670217514038086
HoltGraph,5.0,0.03594040870666504
SzekeresSnarkGraph,9.0,0.07894349098205566
DesarguesGraph,5.0,0.032845497131347656
HortonGraph,25.0,0.25385141372680664
TietzeGraph,2.0,0.013620138168334961
DoubleStarSnark,6.0,0.029895544052124023
KrackhardtKiteGraph,3.0,0.03885650634765625
DurerGraph,2.0,0.030725717544555664
Klein3RegularGraph,9.0,0.0301058292388916
DyckGraph,7.0,0.023157119750976562
Klein7RegularGraph,1.0,0.023467540740966797
EllinghamHorton54Graph,16.0,0.2748448848724365
TutteCoxeterGraph,10.0,0.008919239044189453
EllinghamHorton78Graph,19.0,0.3228321075439453
ErreraGraph,2.0,0.018857240676879883
F26AGraph,7.0,0.015280485153198242
FlowerSnark,3.0,0.027559518814086914
MarkstroemGraph,6.0,0.0531768798828125
WellsGraph,9.0,0.015747785568237305
FolkmanGraph,5.0,0.01490640640258789
WienerArayaGraph,8.0,0.27866196632385254
FosterGraph,22.0,0.13441157341003418
McGeeGraph,4.0,0.0265042781829834
FranklinGraph,3.0,0.014400720596313477
