graph,objective,time_seconds
Balaban10Cage,16.0,4.220333576202393
FruchtGraph,3.0,0.9982345104217529
MeredithGraph,10.0,2.664649486541748
MoebiusKantorGraph,5.0,0.21493196487426758
BidiakisCube,2.0,0.2578749656677246
GossetGraph,1.0,0.6942062377929688
GrayGraph,19.0,0.290722131729126
NauruGraph,7.0,0.5493946075439453
BlanusaFirstSnarkGraph,4.0,0.5371747016906738
PappusGraph,7.0,0.22473382949829102
BlanusaSecondSnarkGraph,3.0,0.5671682357788086
PoussinGraph,1.0,0.3452773094177246
BrinkmannGraph,2.0,0.6008172035217285
HarborthGraph,12.0,8.519458770751953
PerkelGraph,1.0,0.6959271430969238
BuckyBall,11.0,2.431421995162964
HarriesWongGraph,16.0,6.401910305023193
RobertsonGraph,1.0,0.37681031227111816
HeawoodGraph,1.0,0.139573335647583
HerschelGraph,2.0,0.19246745109558105
HoffmanGraph,5.0,0.19217705726623535
SousselierGraph,3.0,0.504558801651001
SylvesterGraph,1.0,0.5750596523284912
CoxeterGraph,6.0,0.34097862243652344
HoltGraph,5.0,0.4456486701965332
SzekeresSnarkGraph,9.0,1.1554453372955322
DesarguesGraph,5.0,0.33597683906555176
HortonGraph,25.0,13.343313217163086
TietzeGraph,2.0,0.2297687530517578
DoubleStarSnark,6.0,0.747352123260498
KrackhardtKiteGraph,3.0,9.448881387710571
DurerGraph,2.0,-9.553518056869507
Klein3RegularGraph,9.0,1.1378188133239746
DyckGraph,7.0,0.37751102447509766
Klein7RegularGraph,1.0,0.330885648727417
EllinghamHorton54Graph,16.0,12.098170757293701
TutteCoxeterGraph,10.0,0.3303191661834717
EllinghamHorton78Graph,19.0,15.235984563827515
ErreraGraph,2.0,0.2788505554199219
F26AGraph,7.0,0.2990152835845947
FlowerSnark,3.0,-0.0778803825378418
MarkstroemGraph,6.0,0.7483992576599121
WellsGraph,9.0,0.3619377613067627
FolkmanGraph,5.0,0.3475041389465332
WienerArayaGraph,8.0,6.152217626571655
FosterGraph,22.0,2.205655336380005
McGeeGraph,4.0,0.6585512161254883
FranklinGraph,3.0,0.12897610664367676
